name,packaging,inn,atc,distributor,releasable_by,shortage,releasable
Abseamed 2000 IU/1.0 ml solution injection in an advanced syringe 6 x - in a pre -filled syringe,6 x - in a pre -filled syringe,epoetin alfa,B03XA01,'Medice Arzneimittel Pütter GmbH & Co. KG,Sz,0,1
Abseamed 3000 IU/0.3 ml solution injection in an advanced syringe 1 x - in a pre -filled syringe,1 x - in a pre -filled syringe,epoetin alfa,B03XA01,'Medice Arzneimittel Pütter GmbH & Co. KG,Sz,0,1
Abseamed 3000 IU/0.3 ml solution injection in an advanced syringe 6 x - in a pre -filled syringe,6 x - in a pre -filled syringe,epoetin alfa,B03XA01,'Medice Arzneimittel Pütter GmbH & Co. KG,Sz,0,1
Abseamed 4000 IU/0.4 ml injection in an advanced syringe 1 x - in a pre -filled syringe,1 x - in a pre -filled syringe,epoetin alfa,B03XA01,'Medice Arzneimittel Pütter GmbH & Co. KG,Sz,0,1
Abseamed 4000 IU/0.4 ml injection in an advanced syringe 6 x - in a pre -filled syringe,6 x - in a pre -filled syringe,epoetin alfa,B03XA01,'Medice Arzneimittel Pütter GmbH & Co. KG,Sz,0,1
Abseamed 5000 IU/0.5 ml of solution injection in an advanced syringe 1 x - in a pre -filled syringe,1 x - in a pre -filled syringe,epoetin alfa,B03XA01,'Medice Arzneimittel Pütter GmbH & Co. KG,Sz,0,1
Abseamed 5000 IU/0.5 ml of solution injection in an advanced syringe 6 x - in a pre -filled syringe,6 x - in a pre -filled syringe,epoetin alfa,B03XA01,'Medice Arzneimittel Pütter GmbH & Co. KG,Sz,0,1
Abseamed 6000 IU/0.6 ml solution injection in an advanced syringe 1 x - in a pre -filled syringe,1 x - in a pre -filled syringe,epoetin alfa,B03XA01,'Medice Arzneimittel Pütter GmbH & Co. KG,Sz,0,1
Abseamed 6000 IU/0.6 ml solution injection in an advanced syringe 6 x - in a pre -filled syringe,6 x - in a pre -filled syringe,epoetin alfa,B03XA01,'Medice Arzneimittel Pütter GmbH & Co. KG,Sz,0,1
Abseamed 7000 IU/0.7 ml solution injection in an advanced syringe 1 x - in a pre -filled syringe,1 x - in a pre -filled syringe,epoetin alfa,B03XA01,'Medice Arzneimittel Pütter GmbH & Co. KG,Sz,0,1
Abseamed 7000 IU/0.7 ml solution injection in an advanced syringe 6 x - in a pre -filled syringe,6 x - in a pre -filled syringe,epoetin alfa,B03XA01,'Medice Arzneimittel Pütter GmbH & Co. KG,Sz,0,1
Abseamed 8000 IU/0.8 ml of solution injection in an advanced syringe 1 x - in a pre -filled syringe,1 x - in a pre -filled syringe,epoetin alfa,B03XA01,'Medice Arzneimittel Pütter GmbH & Co. KG,Sz,0,1
Abseamed 8000 IU/0.8 ml of solution injection in an advanced syringe 6 x - in a pre -filled syringe,6 x - in a pre -filled syringe,epoetin alfa,B03XA01,'Medice Arzneimittel Pütter GmbH & Co. KG,Sz,0,1
Abseamed 9000 IU/0.9 ml solution injection in an advanced syringe 1 x - in a pre -filled syringe,1 x - in a pre -filled syringe,epoetin alfa,B03XA01,'Medice Arzneimittel Pütter GmbH & Co. KG,Sz,0,1
Abseamed 9000 IU/0.9 ml solution injection in an advanced syringe 6 x - in a pre -filled syringe,6 x - in a pre -filled syringe,epoetin alfa,B03XA01,'Medice Arzneimittel Pütter GmbH & Co. KG,Sz,0,1
Abseamed 10000 IU/1.0 ml of solution injection in a pre -filled syringe 1 x - in a pre -filled syringe,1 x - in a pre -filled syringe,epoetin alfa,B03XA01,'Medice Arzneimittel Pütter GmbH & Co. KG,Sz,0,1
Abseamed 10000 IU/1.0 ml of solution injection in a pre -filled syringe 6 x - in a pre -filled syringe,6 x - in a pre -filled syringe,epoetin alfa,B03XA01,'Medice Arzneimittel Pütter GmbH & Co. KG,Sz,0,1
Abseamed 20000 IU/0.5 ml of solution injection in an advanced syringe 1 x - in a pre -filled syringe,1 x - in a pre -filled syringe,epoetin alfa,B03XA01,'Medice Arzneimittel Pütter GmbH & Co. KG,Sz,0,1
Abseamed 20000 IU/0.5 ml of solution injection in an advanced syringe 6 x - in a pre -filled syringe,6 x - in a pre -filled syringe,epoetin alfa,B03XA01,'Medice Arzneimittel Pütter GmbH & Co. KG,Sz,0,1
Abseamed 30000 IU/0.75 ml of solution injection in a pre -filled syringe 6 x - in a pre -filled syringe,6 x - in a pre -filled syringe,epoetin alfa,B03XA01,'Medice Arzneimittel Pütter GmbH & Co. KG,Sz,0,1
Abseamed 30000 IU/0.75 ml of solution injection in a pre -filled syringe 4 x 0.5 ml of pre -filled syringe,4 x 0.5 ml of pre -filled syringe,epoetin alfa,B03XA01,'Medice Arzneimittel Pütter GmbH & Co. KG,Sz,0,1
Abseamed 30000 IU/0.75 ml of solution injection in a pre -filled syringe 1 x - in a pre -filled syringe,1 x - in a pre -filled syringe,epoetin alfa,B03XA01,'Medice Arzneimittel Pütter GmbH & Co. KG,Sz,0,1
Abseamed 40000 IU/1.0 ml of solution injection in a pre -filled syringe 6 x - in a pre -filled syringe,6 x - in a pre -filled syringe,epoetin alfa,B03XA01,'Medice Arzneimittel Pütter GmbH & Co. KG,Sz,0,1
Abseamed 40000 IU/1.0 ml of solution injection in a pre -filled syringe 4 x 0.75 ml of pre -filled syringe,4 x 0.75 ml of pre -filled syringe,epoetin alfa,B03XA01,'Medice Arzneimittel Pütter GmbH & Co. KG,Sz,0,1
Abseamed 40000 IU/1.0 ml of solution injection in a pre -filled syringe 1 x - in a pre -filled syringe,1 x - in a pre -filled syringe,epoetin alfa,B03XA01,'Medice Arzneimittel Pütter GmbH & Co. KG,Sz,0,1
Acarizax 12 SQ-HDM Over Lyophilisate 6 x - in a pre -filled syringe,6 x - in a pre -filled syringe,epoetin alfa,B03XA01,'Medice Arzneimittel Pütter GmbH & Co. KG,Sz,0,1
Acarizax 12 SQ-HDM Over Lyophilisate 4 x 1 ml in a pre -filled syringe,4 x 1 ml in a pre -filled syringe,epoetin alfa,B03XA01,'Medice Arzneimittel Pütter GmbH & Co. KG,Sz,0,1
Acarizax 12 SQ-HDM Over Lyophilisate 10 x - in bubble packaging,10 x - in bubble packaging,dermatophagoides pteronyssinus allergen extract; dermatophagoides farinae allergen extract,V01AA03,'Alk-Abelló A/S,V,0,1
ACC 100 mg granulate for children 30 x - in bubble packaging,30 x - in bubble packaging,dermatophagoides pteronyssinus allergen extract; dermatophagoides farinae allergen extract,V01AA03,'Alk-Abelló A/S,V,0,1
ACC 100 mg granulate for children 90 x - in bubble packaging,90 x - in bubble packaging,dermatophagoides pteronyssinus allergen extract; dermatophagoides farinae allergen extract,V01AA03,'Alk-Abelló A/S,V,0,1
ACC 20 mg/ml oral solution In 20 x 3 g bags,In 20 x 3 g bags,acetylcysteine,R05CB01,'Sandoz Hungária Kft.,VN,0,1
ACC 20 mg/ml oral solution In 30 x 3 g bags,In 30 x 3 g bags,acetylcysteine,R05CB01,'Sandoz Hungária Kft.,VN,0,1
ACC 200 mg granulate 1 x 100 ml of glass,1 x 100 ml of glass,acetylcysteine,R05CB01,'Sandoz Hungária Kft.,VN,1,1
ACC 200 mg granulate 1 x 200 ml in glass,1 x 200 ml in glass,acetylcysteine,R05CB01,'Sandoz Hungária Kft.,VN,1,1
ACC 200 mg of champagne tablets In 30 x 3 g bags,In 30 x 3 g bags,acetylcysteine,R05CB01,'Sandoz Hungária Kft.,VN,0,1
ACC 200 mg of champagne tablets In 20 x 3 g bags,In 20 x 3 g bags,acetylcysteine,R05CB01,'Sandoz Hungária Kft.,VN,0,1
ACC Hot 600 mg powder for an oral solution 20 x - PP container,20 x - PP container,acetylcysteine,R05CB01,'Sandoz Hungária Kft.,VN,0,1
ACC Hot 600 mg powder for an oral solution 20 x - in sachet,20 x - in sachet,acetylcysteine,R05CB01,'Sandoz Hungária Kft.,VN,0,1
ACC Instant 600 mg of oral powder 6 x - in sachet,6 x - in sachet,acetylcysteine,R05CB01,'Sandoz Hungária Kft.,VN,0,1
ACC Instant 600 mg of oral powder 10 x - in sachet,10 x - in sachet,acetylcysteine,R05CB01,'Sandoz Hungária Kft.,VN,0,1
ACC LONG 600 mg of champagne tablets 20 x - in sachet,20 x - in sachet,acetylcysteine,R05CB01,'Sandoz Hungária Kft.,VN,1,1
ACC LONG 600 mg of champagne tablets 30 x - in sachet,30 x - in sachet,acetylcysteine,R05CB01,'Sandoz Hungária Kft.,VN,1,1
ACC LONG 600 mg of champagne tablets 10 x - PP container,10 x - PP container,acetylcysteine,R05CB01,'Sandoz Hungária Kft.,VN,1,1
ACC LONG 600 mg of champagne tablets 20 x - PP container,20 x - PP container,acetylcysteine,R05CB01,'Sandoz Hungária Kft.,VN,1,1
ACC LONG 600 mg of champagne tablets 12 x - in sachet,12 x - in sachet,acetylcysteine,R05CB01,'Sandoz Hungária Kft.,VN,1,1
Accofile in 12 million E/0.2 ml of solution injection or infusion in a pre -filled syringe 10 x - in sachet,10 x - in sachet,acetylcysteine,R05CB01,'Sandoz Hungária Kft.,VN,1,1
Accofile in 12 million E/0.2 ml of solution injection or infusion in a pre -filled syringe 20 x - in sachet,20 x - in sachet,acetylcysteine,R05CB01,'Sandoz Hungária Kft.,VN,1,1
Accofile in 12 million E/0.2 ml of solution injection or infusion in a pre -filled syringe 1 x 0.2 ml in a pre -filled syringe,1 x 0.2 ml in a pre -filled syringe,filgrastim,L03AA02,'Accord Healthcare S.L.U.,Sz,0,1
Accofile in 12 million E/0.2 ml of solution injection or infusion in a pre -filled syringe 5 x 0.2 ml of pre -filled syringe,5 x 0.2 ml of pre -filled syringe,filgrastim,L03AA02,'Accord Healthcare S.L.U.,Sz,0,1
Accofile in 12 million E/0.2 ml of solution injection or infusion in a pre -filled syringe 3 x 0.2 ml of pre -filled syringe,3 x 0.2 ml of pre -filled syringe,filgrastim,L03AA02,'Accord Healthcare S.L.U.,Sz,0,1
Accofile in 12 million E/0.2 ml of solution injection or infusion in a pre -filled syringe 10 x 0.2 ml of pre -filled syringe,10 x 0.2 ml of pre -filled syringe,filgrastim,L03AA02,'Accord Healthcare S.L.U.,Sz,0,1
Accofil 30 million E/0.5 ml of solution injection or infusion in a pre -filled syringe 10 x 0.2 ml of pre -filled syringe,10 x 0.2 ml of pre -filled syringe,filgrastim,L03AA02,'Accord Healthcare S.L.U.,Sz,0,1
Accofil 30 million E/0.5 ml of solution injection or infusion in a pre -filled syringe 7 x 0.2 ml in a pre -filled syringe,7 x 0.2 ml in a pre -filled syringe,filgrastim,L03AA02,'Accord Healthcare S.L.U.,Sz,0,1
Accofil 30 million E/0.5 ml of solution injection or infusion in a pre -filled syringe 1 x 0.5 ml of pre -filled syringe,1 x 0.5 ml of pre -filled syringe,filgrastim,L03AA02,'Accord Healthcare S.L.U.,Sz,0,1
Accofil 30 million E/0.5 ml of solution injection or infusion in a pre -filled syringe 3 x 0.5 ml of pre -filled syringe,3 x 0.5 ml of pre -filled syringe,filgrastim,L03AA02,'Accord Healthcare S.L.U.,Sz,0,1
Accofil 30 million E/0.5 ml of solution injection or infusion in a pre -filled syringe 5 x 0.5 ml of pre -filled syringe,5 x 0.5 ml of pre -filled syringe,filgrastim,L03AA02,'Accord Healthcare S.L.U.,Sz,0,1
Accofil 30 million E/0.5 ml of solution injection or infusion in a pre -filled syringe 10 x 0.5 ml of pre -filled syringe,10 x 0.5 ml of pre -filled syringe,filgrastim,L03AA02,'Accord Healthcare S.L.U.,Sz,0,1
Accofil 30 million E/0.5 ml of solution injection or infusion in a pre -filled syringe 7 x 0.5 ml of pre -filled syringe,7 x 0.5 ml of pre -filled syringe,filgrastim,L03AA02,'Accord Healthcare S.L.U.,Sz,0,1
Accofile 48 million E/0.5 ml of solution injection or infusion in an advanced syringe 1 x 0.5 ml of pre -filled syringe,1 x 0.5 ml of pre -filled syringe,filgrastim,L03AA02,'Accord Healthcare S.L.U.,Sz,0,1
Accofile 48 million E/0.5 ml of solution injection or infusion in an advanced syringe 5 x 0.5 ml of pre -filled syringe,5 x 0.5 ml of pre -filled syringe,filgrastim,L03AA02,'Accord Healthcare S.L.U.,Sz,0,1
Accofile 48 million E/0.5 ml of solution injection or infusion in an advanced syringe 3 x 0.5 ml of pre -filled syringe,3 x 0.5 ml of pre -filled syringe,filgrastim,L03AA02,'Accord Healthcare S.L.U.,Sz,0,1
Accofile 48 million E/0.5 ml of solution injection or infusion in an advanced syringe 10 x 0.5 ml of pre -filled syringe,10 x 0.5 ml of pre -filled syringe,filgrastim,L03AA02,'Accord Healthcare S.L.U.,Sz,0,1
Accofile 48 million E/0.5 ml of solution injection or infusion in an advanced syringe 7 x 0.5 ml of pre -filled syringe,7 x 0.5 ml of pre -filled syringe,filgrastim,L03AA02,'Accord Healthcare S.L.U.,Sz,0,1
Accofile 70 million E/0.73 ml of solution injection or infusion in an advanced syringe 1 x 0.5 ml of pre -filled syringe,1 x 0.5 ml of pre -filled syringe,filgrastim,L03AA02,'Accord Healthcare S.L.U.,Sz,0,1
Accofile 70 million E/0.73 ml of solution injection or infusion in an advanced syringe 5 x 0.5 ml of pre -filled syringe,5 x 0.5 ml of pre -filled syringe,filgrastim,L03AA02,'Accord Healthcare S.L.U.,Sz,0,1
Accofile 70 million E/0.73 ml of solution injection or infusion in an advanced syringe 1 x 0.73 ml in a pre -filled syringe,1 x 0.73 ml in a pre -filled syringe,filgrastim,L03AA02,'Accord Healthcare S.L.U.,Sz,0,1
Accofile 70 million E/0.73 ml of solution injection or infusion in an advanced syringe 5 x 0.73 ml of pre -filled syringe,5 x 0.73 ml of pre -filled syringe,filgrastim,L03AA02,'Accord Healthcare S.L.U.,Sz,0,1
Accofile 70 million E/0.73 ml of solution injection or infusion in an advanced syringe 3 x 0.73 ml of pre -filled syringe,3 x 0.73 ml of pre -filled syringe,filgrastim,L03AA02,'Accord Healthcare S.L.U.,Sz,0,1
Accofile 70 million E/0.73 ml of solution injection or infusion in an advanced syringe 10 x 0.73 ml of pre -filled syringe,10 x 0.73 ml of pre -filled syringe,filgrastim,L03AA02,'Accord Healthcare S.L.U.,Sz,0,1
Accupro 5 mg film -coated tablets 10 x 0.73 ml of pre -filled syringe,10 x 0.73 ml of pre -filled syringe,filgrastim,L03AA02,'Accord Healthcare S.L.U.,Sz,0,1
Accupro 10 mg film -coated tablets 7 x 0.73 ml of pre -filled syringe,7 x 0.73 ml of pre -filled syringe,filgrastim,L03AA02,'Accord Healthcare S.L.U.,Sz,0,1
Accupro 20 mg film -coated tablets 30 x - in bubble packaging,30 x - in bubble packaging,quinapril,C09AA06,'Pfizer Kft.,V,1,1
Accuzide 10 mg/12.5 mg film -coated tablets 30 x - in bubble packaging,30 x - in bubble packaging,quinapril,C09AA06,'Pfizer Kft.,V,1,1
Accuzide 20 mg/12.5 mg film -coated tablets 30 x - in bubble packaging,30 x - in bubble packaging,quinapril,C09AA06,'Pfizer Kft.,V,1,1
AceClofenac Zentiva 100 mg of film -coated tablets 30 x - in bubble packaging,30 x - in bubble packaging,quinapril; hydrochlorothiazide,C09BA06,'Pfizer Kft.,V,1,1
AceClofenac Zentiva 100 mg of film -coated tablets 20 x - in bubble packaging,20 x - in bubble packaging,aceclofenac,M01AB16,"'Zentiva, k.s. (Csehország)",V,0,1
AceClofenac Zentiva 100 mg of film -coated tablets 40 x - in bubble packaging,40 x - in bubble packaging,aceclofenac,M01AB16,"'Zentiva, k.s. (Csehország)",V,0,1
AceClofenac Zentiva 100 mg of film -coated tablets 60 x - in bubble packaging,60 x - in bubble packaging,aceclofenac,M01AB16,"'Zentiva, k.s. (Csehország)",V,0,1
AceClofenac Zentiva 100 mg of film -coated tablets 90 x - in bubble packaging,90 x - in bubble packaging,aceclofenac,M01AB16,"'Zentiva, k.s. (Csehország)",V,0,1
Aceomel 12.5 mg tablets 100 x - in bubble packaging,100 x - in bubble packaging,aceclofenac,M01AB16,"'Zentiva, k.s. (Csehország)",V,0,1
Aceomel 12.5 mg tablets 180 x - in bubble packaging,180 x - in bubble packaging,aceclofenac,M01AB16,"'Zentiva, k.s. (Csehország)",V,0,1
Aceomel 25 mg tablets 30 x - in a container,30 x - in a container,captopril,C09AA01,'PannonPharma Kft.,V,0,1
Aceomel 25 mg tablets 100 x - in a container,100 x - in a container,captopril,C09AA01,'PannonPharma Kft.,V,0,1
Aceomel 50 mg tablets 30 x - in a container,30 x - in a container,captopril,C09AA01,'PannonPharma Kft.,V,0,1
Aceomel 50 mg tablets 100 x - in a container,100 x - in a container,captopril,C09AA01,'PannonPharma Kft.,V,0,1
Acypramine Granulate 100 x - in a container,100 x - in a container,captopril,C09AA01,'PannonPharma Kft.,V,0,1
Aciclovir Agepha 30 mg/g eye ointment 30 x - in a container,30 x - in a container,captopril,C09AA01,'PannonPharma Kft.,V,0,1
Aciclovir Al 200 mg tablets In 1 x 240 g bag,In 1 x 240 g bag,aminocaproic acid,B02AA01,'PannonPharma Kft.,V,0,1
Aciclovir Al 200 mg tablets 1 x 4.5 g in al tube,1 x 4.5 g in al tube,aciclovir,S01AD03,'Agepha Pharma s.r.o,Sz,0,1
Aciclovir Al 400 mg tablets 25 x - in bubble packaging,25 x - in bubble packaging,aciclovir,J05AB01,'Stada Arzneimittel AG,V,0,1
Aciclovir Al 400 mg tablets 50 x - in bubble packaging,50 x - in bubble packaging,aciclovir,J05AB01,'Stada Arzneimittel AG,V,0,1
Aciclovir Al 50 mg/g cream 50 x - in bubble packaging,50 x - in bubble packaging,aciclovir,J05AB01,'Stada Arzneimittel AG,V,0,1
Aciclovir Al 800 mg tablets 25 x - in bubble packaging,25 x - in bubble packaging,aciclovir,J05AB01,'Stada Arzneimittel AG,V,0,1
Aciclovir Al 800 mg tablets 1 x 2 g in al tube,1 x 2 g in al tube,aciclovir,D06BB03,'Stada Arzneimittel AG,VN,0,1
Aciclovir Azevedos 250 mg powder for infusion 40 x - in bubble packaging,40 x - in bubble packaging,aciclovir,J05AB01,'Stada Arzneimittel AG,V,0,1
Aciclovir Azevedos 250 mg powder for infusion 20 x - in bubble packaging,20 x - in bubble packaging,aciclovir,J05AB01,'Stada Arzneimittel AG,V,0,1
Aciclovir Azevedos 250 mg powder for infusion 1 x - in a glass of injection,1 x - in a glass of injection,aciclovir,J05AB01,"'Laboratórios Azevedos -Indústria Farmacéutica,S.A.",I,0,1
Acida 20 mg gastro-resistant tablets 5 x - in vial,5 x - in vial,aciclovir,J05AB01,"'Laboratórios Azevedos -Indústria Farmacéutica,S.A.",I,0,1
Acida 20 mg gastro-resistant tablets 10 x - in vial,10 x - in vial,aciclovir,J05AB01,"'Laboratórios Azevedos -Indústria Farmacéutica,S.A.",I,0,1
Acida 20 mg gastro-resistant tablets 7 x - in bubble packaging,7 x - in bubble packaging,pantoprazole,A02BC02,"'Zentiva, k.s. (Csehország)",VN,1,1
Acido-Git Maalox Over Suspension 14 x - in bubble packaging,14 x - in bubble packaging,pantoprazole,A02BC02,"'Zentiva, k.s. (Csehország)",VN,1,1
Acid 28 x - in bubble packaging,28 x - in bubble packaging,pantoprazole,A02BC02,"'Zentiva, k.s. (Csehország)",V,1,1
Acid In 1 x 250 ml bottle,In 1 x 250 ml bottle,aluminium oxide; magnesium hydroxide,A02AD01,'Opella Healthcare Commercial Kft.,VN,0,1
Acido-Git Maalox Sugar-Free Chew 20 x 4.3 ml bags,20 x 4.3 ml bags,"aluminium oxide, hydrated; magnesium hydroxide",A02AD01,'Opella Healthcare Commercial Kft.,VN,1,1
Acido-Git Maalox Sugar-Free Chew 40 x - in bubble packaging,40 x - in bubble packaging,"aluminium oxide, hydrated; magnesium hydroxide",A02AD01,'Opella Healthcare Commercial Kft.,VN,0,1
Acido-Git Maalox Sugar-Free Chew 60 x - in bubble packaging,60 x - in bubble packaging,"aluminium oxide, hydrated; magnesium hydroxide",A02AD01,'Opella Healthcare Commercial Kft.,VN,0,1
Acido-Git Maalox Chewable 10 x - in bubble packaging,10 x - in bubble packaging,"aluminium oxide, hydrated; magnesium hydroxide",A02AD01,'Opella Healthcare Commercial Kft.,VN,0,1
Acido-Git Maalox Chewable 30 x - in bubble packaging,30 x - in bubble packaging,"aluminium oxide, hydrated; magnesium hydroxide",A02AD01,'Opella Healthcare Commercial Kft.,VN,0,1
Acidum Arsenicosum Anhydricum (Arsenicum album) Balls (3ch) 40 x - in bubble packaging,40 x - in bubble packaging,"aluminium oxide, hydrated; magnesium hydroxide",A02AD01,'Opella Healthcare Commercial Kft.,VN,0,1
Acidum Arsenicosum Anhydricum (Arsenicum album) Balls (5ch) 20 x - in bubble packaging,20 x - in bubble packaging,"aluminium oxide, hydrated; magnesium hydroxide",A02AD01,'Opella Healthcare Commercial Kft.,VN,0,1
Acidum Arsenicosum Anhydricum (Arsenicum album) Balls (6ch) 1 x 4 g multi dose,1 x 4 g multi dose,,,'BOIRON,VN,0,1
Acidum Arsenicosum Anhydricum (Arsenicum album) Balls (9ch) 1 x 4 g multi dose,1 x 4 g multi dose,,,'BOIRON,VN,0,1
Acidum Arsenicosum Anhydricum (Arsenicum album) Balls (12ch) 1 x 4 g multi dose,1 x 4 g multi dose,,,'BOIRON,VN,0,1
Acidum Arsenicosum Anhydricum (Arsenicum album) Balls (15ch) 1 x 4 g multi dose,1 x 4 g multi dose,,,'BOIRON,VN,0,1
Acidum Arsenicosum Anhydricum (Arsenicum album) Balls (30ch) 1 x 4 g multi dose,1 x 4 g multi dose,,,'BOIRON,VN,0,1
Acidum Arsenicosum Anhydricum (Arsenicum album) Balls (200ch) 1 x 4 g multi dose,1 x 4 g multi dose,,,'BOIRON,VN,0,1
Acidum Arsenicosum Anhydricum (Arsenicum album) Balls (C 5) 1 x 4 g multi dose,1 x 4 g multi dose,,,'BOIRON,VN,0,1
Acidum Arsenicosum Anhydricum (Arsenicum album) Balls (C 5) 1 x 20 g of brown glass bottle,1 x 20 g of brown glass bottle,,,'Remedia Homöopathie GmbH,VN,0,1
Acidum Arsenicosum Anhydricum (Arsenicum album) Balls (C 5) 1 x 10 g of brown glass bottle,1 x 10 g of brown glass bottle,,,'Remedia Homöopathie GmbH,VN,0,1
Acidum Arsenicosum Anhydricum (Arsenicum album) Balls (C 6) 1 x 50 g in brown glass bottles,1 x 50 g in brown glass bottles,,,'Remedia Homöopathie GmbH,VN,0,1
Acidum Arsenicosum Anhydricum (Arsenicum album) Balls (C 6) 1 x 1 g glass fiber,1 x 1 g glass fiber,,,'Remedia Homöopathie GmbH,VN,0,1
Acidum Arsenicosum Anhydricum (Arsenicum album) Balls (C 9) 1 x 10 g of brown glass bottle,1 x 10 g of brown glass bottle,,,'Remedia Homöopathie GmbH,VN,0,1
Acidum Arsenicosum Anhydricum (Arsenicum album) Balls (C 9) 1 x 20 g of brown glass bottle,1 x 20 g of brown glass bottle,,,'Remedia Homöopathie GmbH,VN,0,1
Acidum Arsenicosum Anhydricum (Arsenicum album) Balls (C 9) 1 x 50 g in brown glass bottles,1 x 50 g in brown glass bottles,,,'Remedia Homöopathie GmbH,VN,0,1
Acidum Arsenicosum Anhydricum (Arsenicum album) Balls (C 9) 1 x 1 g glass fiber,1 x 1 g glass fiber,,,'Remedia Homöopathie GmbH,VN,0,1
Acidum Arsenicosum Anhydricum (Arsenicum album) Balls (C 12) 1 x 10 g of brown glass bottle,1 x 10 g of brown glass bottle,,,'Remedia Homöopathie GmbH,VN,0,1
Acidum Arsenicosum Anhydricum (Arsenicum album) Balls (C 12) 1 x 20 g of brown glass bottle,1 x 20 g of brown glass bottle,,,'Remedia Homöopathie GmbH,VN,0,1
Acidum Arsenicosum Anhydricum (Arsenicum album) Balls (C 12) 1 x 50 g in brown glass bottles,1 x 50 g in brown glass bottles,,,'Remedia Homöopathie GmbH,VN,0,1
Acidum Arsenicosum Anhydricum (Arsenicum album) Balls (C 12) 1 x 1 g glass fiber,1 x 1 g glass fiber,,,'Remedia Homöopathie GmbH,VN,0,1
Acidum Arsenicosum Anhydricum (Arsenicum album) Balls (C 15) 1 x 10 g of brown glass bottle,1 x 10 g of brown glass bottle,,,'Remedia Homöopathie GmbH,VN,0,1
Acidum Arsenicosum Anhydricum (Arsenicum album) Balls (C 15) 1 x 20 g of brown glass bottle,1 x 20 g of brown glass bottle,,,'Remedia Homöopathie GmbH,VN,0,1
Acidum Arsenicosum Anhydricum (Arsenicum album) Balls (C 15) 1 x 50 g in brown glass bottles,1 x 50 g in brown glass bottles,,,'Remedia Homöopathie GmbH,VN,0,1
Acidum Arsenicosum Anhydricum (Arsenicum album) Balls (C 15) 1 x 1 g glass fiber,1 x 1 g glass fiber,,,'Remedia Homöopathie GmbH,VN,0,1
Acidum Arsenicosum Anhydricum (Arsenicum album) Balls (C 30) 1 x 10 g of brown glass bottle,1 x 10 g of brown glass bottle,,,'Remedia Homöopathie GmbH,VN,0,1
Acidum Arsenicosum Anhydricum (Arsenicum album) Balls (C 30) 1 x 20 g of brown glass bottle,1 x 20 g of brown glass bottle,,,'Remedia Homöopathie GmbH,VN,0,1
Acidum Arsenicosum Anhydricum (Arsenicum album) Balls (C 30) 1 x 50 g in brown glass bottles,1 x 50 g in brown glass bottles,,,'Remedia Homöopathie GmbH,VN,0,1
Acidum Arsenicosum Anhydricum (Arsenicum album) Balls (C 30) 1 x 1 g glass fiber,1 x 1 g glass fiber,,,'Remedia Homöopathie GmbH,VN,0,1
Acidum Arsenicosum Anhydricum (Arsenicum album) Balls (C 200) 1 x 10 g of brown glass bottle,1 x 10 g of brown glass bottle,,,'Remedia Homöopathie GmbH,VN,0,1
Acidum Arsenicosum Anhydricum (Arsenicum album) Balls (C 200) 1 x 20 g of brown glass bottle,1 x 20 g of brown glass bottle,,,'Remedia Homöopathie GmbH,VN,0,1
Acidum Arsenicosum Anhydricum (Arsenicum album) Balls (C 200) 1 x 50 g in brown glass bottles,1 x 50 g in brown glass bottles,,,'Remedia Homöopathie GmbH,VN,0,1
Acidum Arsenicosum Anhydricum (Arsenicum album) Balls (C 200) 1 x 1 g glass fiber,1 x 1 g glass fiber,,,'Remedia Homöopathie GmbH,VN,0,1
Acidum Arsenicosum Anhydricum (Arsenicum album) Balls (C 1000) 1 x 10 g of brown glass bottle,1 x 10 g of brown glass bottle,,,'Remedia Homöopathie GmbH,VN,0,1
Acidum Arsenicosum Anhydricum (Arsenicum album) Balls (C 1000) 1 x 20 g of brown glass bottle,1 x 20 g of brown glass bottle,,,'Remedia Homöopathie GmbH,VN,0,1
Acidum Arsenicosum Anhydricum (Arsenicum album) Balls (C 1000) 1 x 50 g in brown glass bottles,1 x 50 g in brown glass bottles,,,'Remedia Homöopathie GmbH,VN,0,1
Acidum Arsenicosum Anhydricum (Arsenicum album) Balls (C 1000) 1 x 1 g glass fiber,1 x 1 g glass fiber,,,'Remedia Homöopathie GmbH,VN,0,1
Acidum Arsenicosum Anhydricum (Arsenicum album) Balls (C10000) 1 x 10 g of brown glass bottle,1 x 10 g of brown glass bottle,,,'Remedia Homöopathie GmbH,VN,0,1
Acidum Arsenicosum Anhydricum (Arsenicum album) Balls (C10000) 1 x 20 g of brown glass bottle,1 x 20 g of brown glass bottle,,,'Remedia Homöopathie GmbH,VN,0,1
Acidum Arsenicosum Anhydricum (Arsenicum album) Balls (C10000) 1 x 50 g in brown glass bottles,1 x 50 g in brown glass bottles,,,'Remedia Homöopathie GmbH,VN,0,1
Acidum Arsenicosum Anhydricum (Arsenicum album) Balls (C10000) 1 x 1 g glass fiber,1 x 1 g glass fiber,,,'Remedia Homöopathie GmbH,VN,0,1
Acidum Hydrofluoricum (Fluoricum acidum) Balls (5ch) 1 x 10 g of brown glass bottle,1 x 10 g of brown glass bottle,,,'Remedia Homöopathie GmbH,VN,0,1
Acidum Hydrofluoricum (Fluoricum acidum) Balls (6ch) 1 x 20 g of brown glass bottle,1 x 20 g of brown glass bottle,,,'Remedia Homöopathie GmbH,VN,0,1
